model,mae,rmse,r2
random_forest,0.33306175010102734,0.50780020607611,0.8051258153636954
ridge,0.5296910960112664,0.7355932337763869,0.5910746659462229
linear_regression,0.5296964012919461,0.735614537544677,0.591050979549135
